title,provider,subject,school,language,course_hours,session,course_length(weeks along),review count interval(강의시작일 + 강의수업길이 + 1분기<3개월>),review_count (from session start to the interval),total_review_count,total_review_average,pace,certification_available,url
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2016-06-27,5,2016-11-01,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2016-05-30,5,2016-10-04,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2016-05-02,5,2016-09-06,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2016-04-04,5,2016-08-09,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2016-03-08,5,2016-07-12,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2016-01-09,5,2016-05-13,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2015-10-03,5,2016-02-07,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2015-08-29,5,2016-01-03,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2015-07-11,5,2015-11-15,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2015-05-23,5,2015-09-27,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2015-02-13,5,2015-06-20,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2014-09-15,5,2015-01-20,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2014-03-24,5,2014-07-28,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2013-10-07,5,2014-02-11,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2013-04-15,5,2013-08-20,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2012-10-15,5,2013-02-19,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-06-27,4,2016-10-25,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-06-20,4,2016-10-18,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-06-13,4,2016-10-11,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-06-06,4,2016-10-04,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-05-23,4,2016-09-20,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-05-09,4,2016-09-06,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-04-25,4,2016-08-23,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-04-11,4,2016-08-09,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-03-28,4,2016-07-25,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-03-14,4,2016-07-11,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-02-29,4,2016-06-28,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-02-15,4,2016-06-14,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-01-18,4,2016-05-15,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-02-01,4,2016-05-29,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-01-04,4,2016-05-01,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2015-11-30,4,2016-03-28,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2015-11-02,4,2016-02-29,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2015-10-05,4,2016-02-02,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2015-09-18,4,2016-01-16,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2015-02-03,4,2015-06-03,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2015-01-02,4,2015-04-30,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2014-10-03,4,2015-01-31,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2014-08-01,4,2014-11-29,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2016-07-04,6,2016-11-15,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2016-06-06,6,2016-10-18,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2016-05-09,6,2016-09-20,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2016-04-11,6,2016-08-23,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2016-03-14,6,2016-07-25,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2016-02-15,6,2016-06-28,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2016-01-18,6,2016-05-29,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2015-12-21,6,2016-05-01,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2015-11-23,6,2016-04-04,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2015-06-15,6,2015-10-27,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-06-27,4,2016-10-25,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-06-20,4,2016-10-18,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-06-13,4,2016-10-11,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-06-06,4,2016-10-04,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-05-30,4,2016-09-27,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-05-23,4,2016-09-20,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-05-16,4,2016-09-13,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-05-09,4,2016-09-06,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-05-02,4,2016-08-30,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-04-25,4,2016-08-23,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-04-18,4,2016-08-16,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-04-11,4,2016-08-09,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-04-04,4,2016-08-02,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-03-28,4,2016-07-25,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-03-21,4,2016-07-18,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-03-14,4,2016-07-11,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-03-07,4,2016-07-04,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-02-29,4,2016-06-28,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-02-22,4,2016-06-21,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-02-15,4,2016-06-14,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-02-08,4,2016-06-07,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-02-01,4,2016-05-29,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-01-18,4,2016-05-15,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-01-04,4,2016-05-01,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-12-07,4,2016-04-04,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-11-02,4,2016-02-29,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-10-05,4,2016-02-02,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-09-07,4,2016-01-05,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-08-03,4,2015-11-30,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-07-06,4,2015-11-03,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-06-01,4,2015-09-29,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-05-04,4,2015-09-01,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-04-06,4,2015-08-04,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-03-02,4,2015-06-30,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-12-01,4,2015-03-29,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-02-02,4,2015-06-02,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2015-01-05,4,2015-05-02,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-11-03,4,2015-03-01,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-10-06,4,2015-02-03,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-09-01,4,2014-12-29,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-08-04,4,2014-12-01,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-07-07,4,2014-11-04,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-06-02,4,2014-09-30,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-05-05,4,2014-09-02,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2014-04-07,4,2014-08-05,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-06-27,11,2016-12-12,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-06-13,11,2016-11-29,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-05-30,11,2016-11-15,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-05-16,11,2016-11-01,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-05-02,11,2016-10-18,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-04-18,11,2016-10-04,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-04-04,11,2016-09-20,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-03-21,11,2016-09-06,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-03-07,11,2016-08-23,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-02-08,11,2016-07-25,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-02-22,11,2016-08-09,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-01-25,11,2016-07-11,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2015-12-28,11,2016-06-14,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2015-11-30,11,2016-05-15,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2015-11-02,11,2016-04-18,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2015-10-05,11,2016-03-21,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2015-09-18,11,2016-03-04,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2015-03-19,11,2015-09-04,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2015-01-19,11,2015-07-06,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2014-09-22,11,2015-03-08,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2014-06-16,11,2014-12-01,,194,4.793814433,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning
